experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
Base,0,1,2000ms,50,1.0,1800.0,1800.0
Base,1,1,2000ms,40,1.0,1800.0,1800.0
Base,2,1,2000ms,30,1.0,1800.0,1800.0
Base,3,1,2000ms,20,1.0,1800.0,1800.0
Base,4,1,2000ms,10,1.0,1800.0,1800.0
Base,5,1,2000ms,5,1.0,1800.0,1800.0
Base,6,1,2000ms,3,1.0,1800.0,1800.0
Base,7,1,2000ms,2,1.0,1800.0,1800.0
Base,8,1,2000ms,1,1.0,1800.0,1800.0
Base,9,1,1000ms,50,1.0,3600.0,3600.0
Base,10,1,1000ms,40,1.0,3600.0,3600.0
Base,11,1,1000ms,30,1.0,3600.0,3600.0
Base,12,1,1000ms,20,1.0,3600.0,3600.0
Base,13,1,1000ms,10,1.0,3600.0,3600.0
Base,14,1,1000ms,5,1.0,3600.0,3600.0
Base,15,1,1000ms,3,1.0,3600.0,3600.0
Base,16,1,1000ms,2,1.0,3600.0,3600.0
Base,17,1,1000ms,1,1.0,3600.0,3600.0
Base,18,1,500ms,50,1.0,7200.0,7200.0
Base,19,1,500ms,40,1.0,7200.0,7200.0
Base,20,1,500ms,30,1.0,7200.0,7200.0
Base,21,1,500ms,20,1.0,7200.0,7200.0
Base,22,1,500ms,10,1.0,7200.0,7200.0
Base,23,1,500ms,5,1.0,7200.0,7200.0
Base,24,1,500ms,3,1.0,7200.0,7200.0
Base,25,1,500ms,2,1.0,7200.0,7200.0
Base,26,1,500ms,1,1.0,7200.0,7200.0
Base,27,1,300ms,50,0.9951666666666666,12000.0,11942.0
Base,28,1,300ms,40,0.99475,12000.0,11937.0
Base,29,1,300ms,30,0.9919166666666667,12000.0,11903.0
Base,30,1,300ms,20,0.9898333333333333,12000.0,11878.0
Base,31,1,300ms,10,0.9734166666666667,12000.0,11681.0
Base,32,1,300ms,5,0.9510833333333333,12000.0,11413.0
Base,33,1,300ms,3,0.9223333333333333,12000.0,11068.0
Base,34,1,300ms,2,0.88175,12000.0,10581.0
Base,35,1,300ms,1,0.7864166666666667,12000.0,9437.0
Base,36,1,200ms,50,0.9858888888888889,18000.0,17746.0
Base,37,1,200ms,40,0.9817777777777777,18000.0,17672.0
Base,38,1,200ms,30,0.9746111111111111,18000.0,17543.0
Base,39,1,200ms,20,0.9622222222222222,18000.0,17320.0
Base,40,1,200ms,10,0.9300555555555555,18000.0,16741.0
Base,41,1,200ms,5,0.8637222222222222,18000.0,15547.0
Base,42,1,200ms,3,0.7915,18000.0,14247.0
Base,43,1,200ms,2,0.7068333333333333,18000.0,12723.0
Base,44,1,200ms,1,0.5206111111111111,18000.0,9371.0
Base,45,1,100ms,50,0.9559444444444445,36000.0,34414.0
Base,46,1,100ms,40,0.9472222222222222,36000.0,34100.0
Base,47,1,100ms,30,0.9296944444444445,36000.0,33469.0
Base,48,1,100ms,20,0.8951666666666667,36000.0,32226.0
Base,49,1,100ms,10,0.8036111111111112,36000.0,28930.0
Base,50,1,100ms,5,0.6616111111111111,36000.0,23818.0
Base,51,1,100ms,3,0.51775,36000.0,18639.0
Base,52,1,100ms,2,0.3885277777777778,36000.0,13987.0
Base,53,1,100ms,1,0.17630555555555555,36000.0,6347.0
Base,54,2,2000ms,50,0.9852777777777778,1800.0,1773.5
Base,55,2,2000ms,40,0.9838888888888889,1800.0,1771.0
Base,56,2,2000ms,30,0.9780555555555556,1800.0,1760.5
Base,57,2,2000ms,20,0.9605555555555556,1800.0,1729.0
Base,58,2,2000ms,10,0.9294444444444444,1800.0,1673.0
Base,59,2,2000ms,5,0.8513888888888889,1800.0,1532.5
Base,60,2,2000ms,3,0.7519444444444444,1800.0,1353.5
Base,61,2,2000ms,2,0.6255555555555555,1800.0,1126.0
Base,62,2,2000ms,1,0.2513888888888889,1800.0,452.5
Base,63,2,1000ms,50,0.98,3600.0,3528.0
Base,64,2,1000ms,40,0.9838888888888889,3600.0,3542.0
Base,65,2,1000ms,30,0.9790277777777778,3600.0,3524.5
Base,66,2,1000ms,20,0.9577777777777777,3600.0,3448.0
Base,67,2,1000ms,10,0.9277777777777778,3600.0,3340.0
Base,68,2,1000ms,5,0.8513888888888889,3600.0,3065.0
Base,69,2,1000ms,3,0.7593055555555556,3600.0,2733.5
Base,70,2,1000ms,2,0.6331944444444444,3600.0,2279.5
Base,71,2,1000ms,1,0.24944444444444444,3600.0,898.0
Base,72,2,500ms,50,0.9859027777777778,7200.0,7098.5
Base,73,2,500ms,40,0.9815972222222222,7200.0,7067.5
Base,74,2,500ms,30,0.9734722222222222,7200.0,7009.0
Base,75,2,500ms,20,0.961875,7200.0,6925.5
Base,76,2,500ms,10,0.9253472222222222,7200.0,6662.5
Base,77,2,500ms,5,0.8483333333333334,7200.0,6108.0
Base,78,2,500ms,3,0.7466666666666667,7200.0,5376.0
Base,79,2,500ms,2,0.619375,7200.0,4459.5
Base,80,2,500ms,1,0.24722222222222223,7200.0,1780.0
Base,81,2,300ms,50,0.9738333333333333,12000.0,11686.0
Base,82,2,300ms,40,0.9700833333333333,12000.0,11641.0
Base,83,2,300ms,30,0.9595,12000.0,11514.0
Base,84,2,300ms,20,0.9428333333333333,12000.0,11314.0
Base,85,2,300ms,10,0.8810416666666666,12000.0,10572.5
Base,86,2,300ms,5,0.7835416666666667,12000.0,9402.5
Base,87,2,300ms,3,0.6659583333333333,12000.0,7991.5
Base,88,2,300ms,2,0.5441666666666667,12000.0,6530.0
Base,89,2,300ms,1,0.261,12000.0,3132.0
Base,90,2,200ms,50,0.9552222222222222,18000.0,17194.0
Base,91,2,200ms,40,0.9467222222222222,18000.0,17041.0
Base,92,2,200ms,30,0.9300277777777778,18000.0,16740.5
Base,93,2,200ms,20,0.8941944444444444,18000.0,16095.5
Base,94,2,200ms,10,0.8061944444444444,18000.0,14511.5
Base,95,2,200ms,5,0.665,18000.0,11970.0
Base,96,2,200ms,3,0.5202777777777777,18000.0,9365.0
Base,97,2,200ms,2,0.3953611111111111,18000.0,7116.5
Base,98,2,200ms,1,0.17219444444444446,18000.0,3099.5
Base,99,2,100ms,50,0.9015,36000.0,32454.0
Base,100,2,100ms,40,0.8791388888888889,36000.0,31649.0
Base,101,2,100ms,30,0.8457777777777777,36000.0,30448.0
Base,102,2,100ms,20,0.7810972222222222,36000.0,28119.5
Base,103,2,100ms,10,0.6265972222222222,36000.0,22557.5
Base,104,2,100ms,5,0.42293055555555553,36000.0,15225.5
Base,105,2,100ms,3,0.27045833333333336,36000.0,9736.5
Base,106,2,100ms,2,0.16529166666666667,36000.0,5950.5
Base,107,2,100ms,1,0.051166666666666666,36000.0,1842.0
Base,108,3,2000ms,50,0.9683333333333334,1800.0,1743.0
Base,109,3,2000ms,40,0.9622222222222222,1800.0,1732.0
Base,110,3,2000ms,30,0.9533333333333334,1800.0,1716.0
Base,111,3,2000ms,20,0.9238888888888889,1800.0,1663.0
Base,112,3,2000ms,10,0.8588888888888889,1800.0,1546.0
Base,113,3,2000ms,5,0.7133333333333334,1800.0,1284.0
Base,114,3,2000ms,3,0.5561111111111111,1800.0,1001.0
Base,115,3,2000ms,2,0.3907407407407408,1800.0,703.3333333333334
Base,116,3,2000ms,1,0.08259259259259259,1800.0,148.66666666666666
Base,117,3,1000ms,50,0.9725,3600.0,3501.0
Base,118,3,1000ms,40,0.965925925925926,3600.0,3477.3333333333335
Base,119,3,1000ms,30,0.95,3600.0,3420.0
Base,120,3,1000ms,20,0.9262037037037038,3600.0,3334.3333333333335
Base,121,3,1000ms,10,0.8524074074074074,3600.0,3068.6666666666665
Base,122,3,1000ms,5,0.7233333333333334,3600.0,2604.0
Base,123,3,1000ms,3,0.5560185185185186,3600.0,2001.6666666666667
Base,124,3,1000ms,2,0.3958333333333333,3600.0,1425.0
Base,125,3,1000ms,1,0.0812962962962963,3600.0,292.6666666666667
Base,126,3,500ms,50,0.9685648148148148,7200.0,6973.666666666667
Base,127,3,500ms,40,0.965787037037037,7200.0,6953.666666666667
Base,128,3,500ms,30,0.9499074074074073,7200.0,6839.333333333333
Base,129,3,500ms,20,0.9310185185185185,7200.0,6703.333333333333
Base,130,3,500ms,10,0.8537037037037037,7200.0,6146.666666666667
Base,131,3,500ms,5,0.7205555555555555,7200.0,5188.0
Base,132,3,500ms,3,0.5559259259259259,7200.0,4002.6666666666665
Base,133,3,500ms,2,0.39625,7200.0,2853.0
Base,134,3,500ms,1,0.08287037037037037,7200.0,596.6666666666666
Base,135,3,300ms,50,0.9573333333333334,12000.0,11488.0
Base,136,3,300ms,40,0.9453333333333334,12000.0,11344.0
Base,137,3,300ms,30,0.92625,12000.0,11115.0
Base,138,3,300ms,20,0.89375,12000.0,10725.0
Base,139,3,300ms,10,0.8044166666666667,12000.0,9653.0
Base,140,3,300ms,5,0.6481388888888889,12000.0,7777.666666666667
Base,141,3,300ms,3,0.5001111111111111,12000.0,6001.333333333333
Base,142,3,300ms,2,0.3588888888888889,12000.0,4306.666666666667
Base,143,3,300ms,1,0.13208333333333333,12000.0,1585.0
Base,144,3,200ms,50,0.9295185185185184,18000.0,16731.333333333332
Base,145,3,200ms,40,0.9097037037037037,18000.0,16374.666666666666
Base,146,3,200ms,30,0.8861851851851852,18000.0,15951.333333333334
Base,147,3,200ms,20,0.8351111111111111,18000.0,15032.0
Base,148,3,200ms,10,0.7082037037037037,18000.0,12747.666666666666
Base,149,3,200ms,5,0.5241851851851852,18000.0,9435.333333333334
Base,150,3,200ms,3,0.37016666666666664,18000.0,6663.0
Base,151,3,200ms,2,0.24414814814814817,18000.0,4394.666666666667
Base,152,3,200ms,1,0.08637037037037038,18000.0,1554.6666666666667
Base,153,3,100ms,50,0.8521666666666666,36000.0,30678.0
Base,154,3,100ms,40,0.8208148148148148,36000.0,29549.333333333332
Base,155,3,100ms,30,0.7705833333333333,36000.0,27741.0
Base,156,3,100ms,20,0.6862314814814815,36000.0,24704.333333333332
Base,157,3,100ms,10,0.4971018518518519,36000.0,17895.666666666668
Base,158,3,100ms,5,0.29020370370370374,36000.0,10447.333333333334
Base,159,3,100ms,3,0.16048148148148147,36000.0,5777.333333333333
Base,160,3,100ms,2,0.08712037037037038,36000.0,3136.3333333333335
Base,161,3,100ms,1,0.02401851851851852,36000.0,864.6666666666666
Base,162,5,2000ms,50,0.9373333333333334,1800.0,1687.2
Base,163,5,2000ms,40,0.928,1800.0,1670.4
Base,164,5,2000ms,30,0.9047777777777777,1800.0,1628.6
Base,165,5,2000ms,20,0.8464444444444444,1800.0,1523.6
Base,166,5,2000ms,10,0.7284444444444444,1800.0,1311.2
Base,167,5,2000ms,5,0.5238888888888888,1800.0,943.0
Base,168,5,2000ms,3,0.32533333333333336,1800.0,585.6
Base,169,5,2000ms,2,0.17,1800.0,306.0
Base,170,5,2000ms,1,0.012888888888888889,1800.0,23.2
Base,171,5,1000ms,50,0.9417222222222221,3600.0,3390.2
Base,172,5,1000ms,40,0.9255555555555556,3600.0,3332.0
Base,173,5,1000ms,30,0.9059444444444444,3600.0,3261.4
Base,174,5,1000ms,20,0.8630555555555556,3600.0,3107.0
Base,175,5,1000ms,10,0.7319444444444444,3600.0,2635.0
Base,176,5,1000ms,5,0.5283888888888889,3600.0,1902.2
Base,177,5,1000ms,3,0.3263888888888889,3600.0,1175.0
Base,178,5,1000ms,2,0.1661111111111111,3600.0,598.0
Base,179,5,1000ms,1,0.012333333333333333,3600.0,44.4
Base,180,5,500ms,50,0.9408888888888889,7200.0,6774.4
Base,181,5,500ms,40,0.9254444444444444,7200.0,6663.2
Base,182,5,500ms,30,0.9031388888888889,7200.0,6502.6
Base,183,5,500ms,20,0.8605555555555555,7200.0,6196.0
Base,184,5,500ms,10,0.7332777777777778,7200.0,5279.6
Base,185,5,500ms,5,0.5300277777777778,7200.0,3816.2
Base,186,5,500ms,3,0.32466666666666666,7200.0,2337.6
Base,187,5,500ms,2,0.16405555555555557,7200.0,1181.2
Base,188,5,500ms,1,0.012972222222222224,7200.0,93.4
Base,189,5,300ms,50,0.9217166666666667,12000.0,11060.6
Base,190,5,300ms,40,0.90375,12000.0,10845.0
Base,191,5,300ms,30,0.8712166666666668,12000.0,10454.6
Base,192,5,300ms,20,0.8161999999999999,12000.0,9794.4
Base,193,5,300ms,10,0.6711333333333334,12000.0,8053.6
Base,194,5,300ms,5,0.4690333333333333,12000.0,5628.4
Base,195,5,300ms,3,0.3096833333333333,12000.0,3716.2
