,experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
0,Base,0,1,2000ms,50,1.0,1800.0,1800.0
1,Base,1,1,2000ms,40,1.0,1800.0,1800.0
2,Base,2,1,2000ms,30,1.0,1800.0,1800.0
3,Base,3,1,2000ms,20,1.0,1800.0,1800.0
4,Base,4,1,2000ms,10,1.0,1800.0,1800.0
5,Base,5,1,2000ms,5,1.0,1800.0,1800.0
6,Base,6,1,2000ms,3,1.0,1800.0,1800.0
7,Base,7,1,2000ms,2,1.0,1800.0,1800.0
8,Base,8,1,2000ms,1,1.0,1800.0,1800.0
9,Base,9,1,1000ms,50,1.0,3600.0,3600.0
10,Base,10,1,1000ms,40,1.0,3600.0,3600.0
11,Base,11,1,1000ms,30,1.0,3600.0,3600.0
12,Base,12,1,1000ms,20,1.0,3600.0,3600.0
13,Base,13,1,1000ms,10,1.0,3600.0,3600.0
14,Base,14,1,1000ms,5,1.0,3600.0,3600.0
15,Base,15,1,1000ms,3,1.0,3600.0,3600.0
16,Base,16,1,1000ms,2,1.0,3600.0,3600.0
17,Base,17,1,1000ms,1,1.0,3600.0,3600.0
18,Base,18,1,500ms,50,1.0,7200.0,7200.0
19,Base,19,1,500ms,40,1.0,7200.0,7200.0
20,Base,20,1,500ms,30,1.0,7200.0,7200.0
21,Base,21,1,500ms,20,1.0,7200.0,7200.0
22,Base,22,1,500ms,10,1.0,7200.0,7200.0
23,Base,23,1,500ms,5,1.0,7200.0,7200.0
24,Base,24,1,500ms,3,1.0,7200.0,7200.0
25,Base,25,1,500ms,2,1.0,7200.0,7200.0
26,Base,26,1,500ms,1,1.0,7200.0,7200.0
27,Base,27,1,300ms,50,0.9951666666666666,12000.0,11942.0
28,Base,28,1,300ms,40,0.99475,12000.0,11937.0
29,Base,29,1,300ms,30,0.9919166666666668,12000.0,11903.0
30,Base,30,1,300ms,20,0.9898333333333332,12000.0,11878.0
31,Base,31,1,300ms,10,0.9734166666666668,12000.0,11681.0
32,Base,32,1,300ms,5,0.9510833333333332,12000.0,11413.0
33,Base,33,1,300ms,3,0.9223333333333332,12000.0,11068.0
34,Base,34,1,300ms,2,0.88175,12000.0,10581.0
35,Base,35,1,300ms,1,0.7864166666666667,12000.0,9437.0
36,Base,36,1,200ms,50,0.9858888888888888,18000.0,17746.0
37,Base,37,1,200ms,40,0.9817777777777776,18000.0,17672.0
38,Base,38,1,200ms,30,0.9746111111111112,18000.0,17543.0
39,Base,39,1,200ms,20,0.9622222222222222,18000.0,17320.0
40,Base,40,1,200ms,10,0.9300555555555556,18000.0,16741.0
41,Base,41,1,200ms,5,0.8637222222222222,18000.0,15547.0
42,Base,42,1,200ms,3,0.7915,18000.0,14247.0
43,Base,43,1,200ms,2,0.7068333333333333,18000.0,12723.0
44,Base,44,1,200ms,1,0.5206111111111111,18000.0,9371.0
45,Base,45,1,100ms,50,0.9559444444444444,36000.0,34414.0
46,Base,46,1,100ms,40,0.9472222222222222,36000.0,34100.0
47,Base,47,1,100ms,30,0.9296944444444444,36000.0,33469.0
48,Base,48,1,100ms,20,0.8951666666666667,36000.0,32226.0
49,Base,49,1,100ms,10,0.8036111111111112,36000.0,28930.0
50,Base,50,1,100ms,5,0.6616111111111111,36000.0,23818.0
51,Base,51,1,100ms,3,0.51775,36000.0,18639.0
52,Base,52,1,100ms,2,0.3885277777777778,36000.0,13987.0
53,Base,53,1,100ms,1,0.1763055555555555,36000.0,6347.0
