,experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
162,Base,162,5,2000ms,50,0.9373333333333334,1800.0,1687.2
163,Base,163,5,2000ms,40,0.928,1800.0,1670.4
164,Base,164,5,2000ms,30,0.9047777777777776,1800.0,1628.6
165,Base,165,5,2000ms,20,0.8464444444444444,1800.0,1523.6
166,Base,166,5,2000ms,10,0.7284444444444444,1800.0,1311.2
167,Base,167,5,2000ms,5,0.5238888888888888,1800.0,943.0
168,Base,168,5,2000ms,3,0.3253333333333333,1800.0,585.6
169,Base,169,5,2000ms,2,0.17,1800.0,306.0
170,Base,170,5,2000ms,1,0.0128888888888888,1800.0,23.2
171,Base,171,5,1000ms,50,0.941722222222222,3600.0,3390.2
172,Base,172,5,1000ms,40,0.9255555555555556,3600.0,3332.0
173,Base,173,5,1000ms,30,0.9059444444444444,3600.0,3261.4
174,Base,174,5,1000ms,20,0.8630555555555556,3600.0,3107.0
175,Base,175,5,1000ms,10,0.7319444444444444,3600.0,2635.0
176,Base,176,5,1000ms,5,0.5283888888888889,3600.0,1902.2
177,Base,177,5,1000ms,3,0.3263888888888889,3600.0,1175.0
178,Base,178,5,1000ms,2,0.1661111111111111,3600.0,598.0
179,Base,179,5,1000ms,1,0.0123333333333333,3600.0,44.4
180,Base,180,5,500ms,50,0.9408888888888888,7200.0,6774.4
181,Base,181,5,500ms,40,0.9254444444444444,7200.0,6663.2
182,Base,182,5,500ms,30,0.9031388888888888,7200.0,6502.6
183,Base,183,5,500ms,20,0.8605555555555555,7200.0,6196.0
184,Base,184,5,500ms,10,0.7332777777777778,7200.0,5279.6
185,Base,185,5,500ms,5,0.5300277777777778,7200.0,3816.2
186,Base,186,5,500ms,3,0.3246666666666666,7200.0,2337.6
187,Base,187,5,500ms,2,0.1640555555555555,7200.0,1181.2
188,Base,188,5,500ms,1,0.0129722222222222,7200.0,93.4
189,Base,189,5,300ms,50,0.9217166666666669,12000.0,11060.6
190,Base,190,5,300ms,40,0.90375,12000.0,10845.0
191,Base,191,5,300ms,30,0.8712166666666668,12000.0,10454.6
192,Base,192,5,300ms,20,0.8161999999999999,12000.0,9794.4
193,Base,193,5,300ms,10,0.6711333333333334,12000.0,8053.6
194,Base,194,5,300ms,5,0.4690333333333333,12000.0,5628.4
195,Base,195,5,300ms,3,0.3096833333333333,12000.0,3716.2
196,Base,196,5,300ms,2,0.187,12000.0,2244.0
197,Base,197,5,300ms,1,0.06025,12000.0,723.0
198,Base,198,5,200ms,50,0.8781222222222222,18000.0,15806.2
199,Base,199,5,200ms,40,0.8500111111111112,18000.0,15300.2
200,Base,200,5,200ms,30,0.8090999999999999,18000.0,14563.8
201,Base,201,5,200ms,20,0.7320111111111112,18000.0,13176.2
202,Base,202,5,200ms,10,0.5557777777777778,18000.0,10004.0
203,Base,203,5,200ms,5,0.3498555555555555,18000.0,6297.4
204,Base,204,5,200ms,3,0.2084444444444444,18000.0,3752.0
205,Base,205,5,200ms,2,0.1171222222222222,18000.0,2108.2
206,Base,206,5,200ms,1,0.0348,18000.0,626.4
207,Base,207,5,100ms,50,0.7650111111111112,36000.0,27540.4
208,Base,208,5,100ms,40,0.7203222222222222,36000.0,25931.6
209,Base,209,5,100ms,30,0.6517277777777778,36000.0,23462.2
210,Base,210,5,100ms,20,0.5430333333333334,36000.0,19549.2
211,Base,211,5,100ms,10,0.3375166666666667,36000.0,12150.6
212,Base,212,5,100ms,5,0.1570611111111111,36000.0,5654.2
213,Base,213,5,100ms,3,0.0744333333333333,36000.0,2679.6
214,Base,214,5,100ms,2,0.0356611111111111,36000.0,1283.8
215,Base,215,5,100ms,1,0.0102388888888888,36000.0,368.6
