,experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
0,ROWA,0,1,2000ms,50,1.0,1800.0,1800.0
1,ROWA,1,1,2000ms,40,1.0,1800.0,1800.0
2,ROWA,2,1,2000ms,30,1.0,1800.0,1800.0
3,ROWA,3,1,2000ms,20,1.0,1800.0,1800.0
4,ROWA,4,1,2000ms,10,1.0,1800.0,1800.0
5,ROWA,5,1,2000ms,5,1.0,1800.0,1800.0
6,ROWA,6,1,2000ms,3,1.0,1800.0,1800.0
7,ROWA,7,1,2000ms,2,1.0,1800.0,1800.0
8,ROWA,8,1,2000ms,1,1.0,1800.0,1800.0
9,ROWA,9,1,1000ms,50,1.0,3600.0,3600.0
10,ROWA,10,1,1000ms,40,1.0,3600.0,3600.0
11,ROWA,11,1,1000ms,30,1.0,3600.0,3600.0
12,ROWA,12,1,1000ms,20,1.0,3600.0,3600.0
13,ROWA,13,1,1000ms,10,1.0,3600.0,3600.0
14,ROWA,14,1,1000ms,5,1.0,3600.0,3600.0
15,ROWA,15,1,1000ms,3,1.0,3600.0,3600.0
16,ROWA,16,1,1000ms,2,1.0,3600.0,3600.0
17,ROWA,17,1,1000ms,1,1.0,3600.0,3600.0
18,ROWA,18,1,500ms,50,1.0,7200.0,7200.0
19,ROWA,19,1,500ms,40,1.0,7200.0,7200.0
20,ROWA,20,1,500ms,30,1.0,7200.0,7200.0
21,ROWA,21,1,500ms,20,1.0,7200.0,7200.0
22,ROWA,22,1,500ms,10,1.0,7200.0,7200.0
23,ROWA,23,1,500ms,5,1.0,7200.0,7200.0
24,ROWA,24,1,500ms,3,1.0,7200.0,7200.0
25,ROWA,25,1,500ms,2,1.0,7200.0,7200.0
26,ROWA,26,1,500ms,1,1.0,7200.0,7200.0
27,ROWA,27,1,300ms,50,0.9901666666666666,12000.0,11882.0
28,ROWA,28,1,300ms,40,0.98725,12000.0,11847.0
29,ROWA,29,1,300ms,30,0.9856666666666668,12000.0,11828.0
30,ROWA,30,1,300ms,20,0.9755833333333334,12000.0,11707.0
31,ROWA,31,1,300ms,10,0.95475,12000.0,11457.0
32,ROWA,32,1,300ms,5,0.9123333333333332,12000.0,10948.0
33,ROWA,33,1,300ms,3,0.8604166666666667,12000.0,10325.0
34,ROWA,34,1,300ms,2,0.8004166666666667,12000.0,9605.0
35,ROWA,35,1,300ms,1,0.6505,12000.0,7806.0
36,ROWA,36,1,200ms,50,0.9815555555555556,18000.0,17668.0
37,ROWA,37,1,200ms,40,0.9748333333333332,18000.0,17547.0
38,ROWA,38,1,200ms,30,0.9715555555555556,18000.0,17488.0
39,ROWA,39,1,200ms,20,0.9532777777777778,18000.0,17159.0
40,ROWA,40,1,200ms,10,0.9111666666666668,18000.0,16401.0
41,ROWA,41,1,200ms,5,0.838,18000.0,15084.0
42,ROWA,42,1,200ms,3,0.7595555555555555,18000.0,13672.0
43,ROWA,43,1,200ms,2,0.6768333333333333,18000.0,12183.0
44,ROWA,44,1,200ms,1,0.5105,18000.0,9189.0
45,ROWA,45,1,100ms,50,0.9419444444444444,36000.0,33910.0
46,ROWA,46,1,100ms,40,0.9304722222222224,36000.0,33497.0
47,ROWA,47,1,100ms,30,0.9088888888888887,36000.0,32720.0
48,ROWA,48,1,100ms,20,0.8701666666666666,36000.0,31326.0
49,ROWA,49,1,100ms,10,0.7661111111111111,36000.0,27580.0
50,ROWA,50,1,100ms,5,0.6053333333333333,36000.0,21792.0
51,ROWA,51,1,100ms,3,0.4601388888888889,36000.0,16565.0
52,ROWA,52,1,100ms,2,0.3341388888888889,36000.0,12029.0
53,ROWA,53,1,100ms,1,0.1373055555555555,36000.0,4943.0
