,experiment,run,type,module,name,attrname,attrvalue,value
6,Base,0,config,,,*.client[*].KEYSPACE_SIZE,50,
8,Base,0,config,,,*.client[*].PUT_INTERVAL,2000ms,
16,Base,0,config,,,**.CLIENTS_NUMBER,1,
1,Base,0,scalar,QBRD.client[0],# of aborted put,,,0.0
2,Base,0,scalar,QBRD.client[0],# of put requests,,,1800.0
9,Base,0,scalar,QBRD.client[0],# of committed put,,,1800.0
10,Base,0,scalar,QBRD.client[0],# of get responses,,,3600.0
11,Base,0,scalar,QBRD.client[0],# of get requests,,,3600.0
22,Base,1,config,,,*.client[*].PUT_INTERVAL,2000ms,
31,Base,1,config,,,**.CLIENTS_NUMBER,1,
34,Base,1,config,,,*.client[*].KEYSPACE_SIZE,40,
21,Base,1,scalar,QBRD.client[0],# of aborted put,,,0.0
24,Base,1,scalar,QBRD.client[0],# of committed put,,,1800.0
28,Base,1,scalar,QBRD.client[0],# of get requests,,,3600.0
32,Base,1,scalar,QBRD.client[0],# of put requests,,,1800.0
37,Base,1,scalar,QBRD.client[0],# of get responses,,,3600.0
44,Base,2,config,,,*.client[*].KEYSPACE_SIZE,30,
47,Base,2,config,,,*.client[*].PUT_INTERVAL,2000ms,
50,Base,2,config,,,**.CLIENTS_NUMBER,1,
40,Base,2,scalar,QBRD.client[0],# of get responses,,,3600.0
42,Base,2,scalar,QBRD.client[0],# of committed put,,,1800.0
43,Base,2,scalar,QBRD.client[0],# of aborted put,,,0.0
48,Base,2,scalar,QBRD.client[0],# of put requests,,,1800.0
55,Base,2,scalar,QBRD.client[0],# of get requests,,,3600.0
60,Base,3,config,,,**.CLIENTS_NUMBER,1,
61,Base,3,config,,,*.client[*].PUT_INTERVAL,2000ms,
63,Base,3,config,,,*.client[*].KEYSPACE_SIZE,20,
64,Base,3,scalar,QBRD.client[0],# of aborted put,,,0.0
65,Base,3,scalar,QBRD.client[0],# of get requests,,,3600.0
66,Base,3,scalar,QBRD.client[0],# of put requests,,,1800.0
71,Base,3,scalar,QBRD.client[0],# of committed put,,,1800.0
74,Base,3,scalar,QBRD.client[0],# of get responses,,,3600.0
92,Base,4,config,,,**.CLIENTS_NUMBER,1,
93,Base,4,config,,,*.client[*].PUT_INTERVAL,2000ms,
98,Base,4,config,,,*.client[*].KEYSPACE_SIZE,10,
80,Base,4,scalar,QBRD.client[0],# of get requests,,,3600.0
81,Base,4,scalar,QBRD.client[0],# of committed put,,,1800.0
83,Base,4,scalar,QBRD.client[0],# of put requests,,,1800.0
85,Base,4,scalar,QBRD.client[0],# of aborted put,,,0.0
89,Base,4,scalar,QBRD.client[0],# of get responses,,,3600.0
100,Base,5,config,,,**.CLIENTS_NUMBER,1,
105,Base,5,config,,,*.client[*].KEYSPACE_SIZE,5,
118,Base,5,config,,,*.client[*].PUT_INTERVAL,2000ms,
107,Base,5,scalar,QBRD.client[0],# of get requests,,,3600.0
109,Base,5,scalar,QBRD.client[0],# of put requests,,,1800.0
110,Base,5,scalar,QBRD.client[0],# of committed put,,,1800.0
111,Base,5,scalar,QBRD.client[0],# of aborted put,,,0.0
114,Base,5,scalar,QBRD.client[0],# of get responses,,,3600.0
123,Base,6,config,,,*.client[*].KEYSPACE_SIZE,3,
125,Base,6,config,,,*.client[*].PUT_INTERVAL,2000ms,
126,Base,6,config,,,**.CLIENTS_NUMBER,1,
121,Base,6,scalar,QBRD.client[0],# of committed put,,,1800.0
131,Base,6,scalar,QBRD.client[0],# of put requests,,,1800.0
132,Base,6,scalar,QBRD.client[0],# of aborted put,,,0.0
133,Base,6,scalar,QBRD.client[0],# of get responses,,,3600.0
134,Base,6,scalar,QBRD.client[0],# of get requests,,,3600.0
141,Base,7,config,,,*.client[*].PUT_INTERVAL,2000ms,
155,Base,7,config,,,**.CLIENTS_NUMBER,1,
158,Base,7,config,,,*.client[*].KEYSPACE_SIZE,2,
140,Base,7,scalar,QBRD.client[0],# of aborted put,,,0.0
142,Base,7,scalar,QBRD.client[0],# of get responses,,,3600.0
145,Base,7,scalar,QBRD.client[0],# of committed put,,,1800.0
148,Base,7,scalar,QBRD.client[0],# of put requests,,,1800.0
150,Base,7,scalar,QBRD.client[0],# of get requests,,,3600.0
166,Base,8,config,,,*.client[*].KEYSPACE_SIZE,1,
171,Base,8,config,,,**.CLIENTS_NUMBER,1,
174,Base,8,config,,,*.client[*].PUT_INTERVAL,2000ms,
160,Base,8,scalar,QBRD.client[0],# of put requests,,,1800.0
161,Base,8,scalar,QBRD.client[0],# of aborted put,,,0.0
162,Base,8,scalar,QBRD.client[0],# of get requests,,,3600.0
164,Base,8,scalar,QBRD.client[0],# of committed put,,,1800.0
167,Base,8,scalar,QBRD.client[0],# of get responses,,,3600.0
183,Base,9,config,,,*.client[*].KEYSPACE_SIZE,50,
184,Base,9,config,,,*.client[*].PUT_INTERVAL,1000ms,
195,Base,9,config,,,**.CLIENTS_NUMBER,1,
182,Base,9,scalar,QBRD.client[0],# of aborted put,,,0.0
188,Base,9,scalar,QBRD.client[0],# of put requests,,,3600.0
191,Base,9,scalar,QBRD.client[0],# of committed put,,,3600.0
192,Base,9,scalar,QBRD.client[0],# of get responses,,,3600.0
193,Base,9,scalar,QBRD.client[0],# of get requests,,,3600.0
203,Base,10,config,,,**.CLIENTS_NUMBER,1,
205,Base,10,config,,,*.client[*].KEYSPACE_SIZE,40,
207,Base,10,config,,,*.client[*].PUT_INTERVAL,1000ms,
200,Base,10,scalar,QBRD.client[0],# of committed put,,,3600.0
208,Base,10,scalar,QBRD.client[0],# of get requests,,,3600.0
210,Base,10,scalar,QBRD.client[0],# of get responses,,,3600.0
211,Base,10,scalar,QBRD.client[0],# of put requests,,,3600.0
214,Base,10,scalar,QBRD.client[0],# of aborted put,,,0.0
227,Base,11,config,,,**.CLIENTS_NUMBER,1,
228,Base,11,config,,,*.client[*].PUT_INTERVAL,1000ms,
233,Base,11,config,,,*.client[*].KEYSPACE_SIZE,30,
220,Base,11,scalar,QBRD.client[0],# of get responses,,,3600.0
224,Base,11,scalar,QBRD.client[0],# of get requests,,,3600.0
231,Base,11,scalar,QBRD.client[0],# of committed put,,,3600.0
235,Base,11,scalar,QBRD.client[0],# of put requests,,,3600.0
236,Base,11,scalar,QBRD.client[0],# of aborted put,,,0.0
249,Base,12,config,,,*.client[*].KEYSPACE_SIZE,20,
250,Base,12,config,,,*.client[*].PUT_INTERVAL,1000ms,
257,Base,12,config,,,**.CLIENTS_NUMBER,1,
241,Base,12,scalar,QBRD.client[0],# of aborted put,,,0.0
242,Base,12,scalar,QBRD.client[0],# of get requests,,,3600.0
243,Base,12,scalar,QBRD.client[0],# of get responses,,,3600.0
244,Base,12,scalar,QBRD.client[0],# of committed put,,,3600.0
246,Base,12,scalar,QBRD.client[0],# of put requests,,,3600.0
262,Base,13,config,,,*.client[*].KEYSPACE_SIZE,10,
268,Base,13,config,,,*.client[*].PUT_INTERVAL,1000ms,
274,Base,13,config,,,**.CLIENTS_NUMBER,1,
260,Base,13,scalar,QBRD.client[0],# of committed put,,,3600.0
261,Base,13,scalar,QBRD.client[0],# of put requests,,,3600.0
263,Base,13,scalar,QBRD.client[0],# of get responses,,,3600.0
266,Base,13,scalar,QBRD.client[0],# of get requests,,,3600.0
270,Base,13,scalar,QBRD.client[0],# of aborted put,,,0.0
283,Base,14,config,,,**.CLIENTS_NUMBER,1,
289,Base,14,config,,,*.client[*].KEYSPACE_SIZE,5,
297,Base,14,config,,,*.client[*].PUT_INTERVAL,1000ms,
280,Base,14,scalar,QBRD.client[0],# of aborted put,,,0.0
282,Base,14,scalar,QBRD.client[0],# of put requests,,,3600.0
291,Base,14,scalar,QBRD.client[0],# of get responses,,,3600.0
292,Base,14,scalar,QBRD.client[0],# of get requests,,,3600.0
296,Base,14,scalar,QBRD.client[0],# of committed put,,,3600.0
312,Base,15,config,,,**.CLIENTS_NUMBER,1,
315,Base,15,config,,,*.client[*].PUT_INTERVAL,1000ms,
319,Base,15,config,,,*.client[*].KEYSPACE_SIZE,3,
301,Base,15,scalar,QBRD.client[0],# of aborted put,,,0.0
305,Base,15,scalar,QBRD.client[0],# of committed put,,,3600.0
309,Base,15,scalar,QBRD.client[0],# of get responses,,,3600.0
313,Base,15,scalar,QBRD.client[0],# of get requests,,,3600.0
314,Base,15,scalar,QBRD.client[0],# of put requests,,,3600.0
327,Base,16,config,,,*.client[*].KEYSPACE_SIZE,2,
329,Base,16,config,,,*.client[*].PUT_INTERVAL,1000ms,
337,Base,16,config,,,**.CLIENTS_NUMBER,1,
320,Base,16,scalar,QBRD.client[0],# of aborted put,,,0.0
321,Base,16,scalar,QBRD.client[0],# of get requests,,,3600.0
322,Base,16,scalar,QBRD.client[0],# of put requests,,,3600.0
326,Base,16,scalar,QBRD.client[0],# of committed put,,,3600.0
328,Base,16,scalar,QBRD.client[0],# of get responses,,,3600.0
341,Base,17,config,,,*.client[*].KEYSPACE_SIZE,1,
350,Base,17,config,,,*.client[*].PUT_INTERVAL,1000ms,
351,Base,17,config,,,**.CLIENTS_NUMBER,1,
340,Base,17,scalar,QBRD.client[0],# of aborted put,,,0.0
342,Base,17,scalar,QBRD.client[0],# of committed put,,,3600.0
344,Base,17,scalar,QBRD.client[0],# of put requests,,,3600.0
345,Base,17,scalar,QBRD.client[0],# of get requests,,,3600.0
346,Base,17,scalar,QBRD.client[0],# of get responses,,,3600.0
365,Base,18,config,,,*.client[*].KEYSPACE_SIZE,50,
367,Base,18,config,,,**.CLIENTS_NUMBER,1,
368,Base,18,config,,,*.client[*].PUT_INTERVAL,500ms,
360,Base,18,scalar,QBRD.client[0],# of get requests,,,3600.0
361,Base,18,scalar,QBRD.client[0],# of get responses,,,3600.0
363,Base,18,scalar,QBRD.client[0],# of put requests,,,7200.0
369,Base,18,scalar,QBRD.client[0],# of aborted put,,,0.0
371,Base,18,scalar,QBRD.client[0],# of committed put,,,7200.0
390,Base,19,config,,,*.client[*].PUT_INTERVAL,500ms,
