experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
ROWA,0,1,2000ms,50,1.0,1800.0,1800.0
ROWA,1,1,2000ms,40,1.0,1800.0,1800.0
ROWA,2,1,2000ms,30,1.0,1800.0,1800.0
ROWA,3,1,2000ms,20,1.0,1800.0,1800.0
ROWA,4,1,2000ms,10,1.0,1800.0,1800.0
ROWA,5,1,2000ms,5,1.0,1800.0,1800.0
ROWA,6,1,2000ms,3,1.0,1800.0,1800.0
ROWA,7,1,2000ms,2,1.0,1800.0,1800.0
ROWA,8,1,2000ms,1,1.0,1800.0,1800.0
ROWA,9,1,1000ms,50,1.0,3600.0,3600.0
ROWA,10,1,1000ms,40,1.0,3600.0,3600.0
ROWA,11,1,1000ms,30,1.0,3600.0,3600.0
ROWA,12,1,1000ms,20,1.0,3600.0,3600.0
ROWA,13,1,1000ms,10,1.0,3600.0,3600.0
ROWA,14,1,1000ms,5,1.0,3600.0,3600.0
ROWA,15,1,1000ms,3,1.0,3600.0,3600.0
ROWA,16,1,1000ms,2,1.0,3600.0,3600.0
ROWA,17,1,1000ms,1,1.0,3600.0,3600.0
ROWA,18,1,500ms,50,1.0,7200.0,7200.0
ROWA,19,1,500ms,40,1.0,7200.0,7200.0
ROWA,20,1,500ms,30,1.0,7200.0,7200.0
ROWA,21,1,500ms,20,1.0,7200.0,7200.0
ROWA,22,1,500ms,10,1.0,7200.0,7200.0
ROWA,23,1,500ms,5,1.0,7200.0,7200.0
ROWA,24,1,500ms,3,1.0,7200.0,7200.0
ROWA,25,1,500ms,2,1.0,7200.0,7200.0
ROWA,26,1,500ms,1,1.0,7200.0,7200.0
ROWA,27,1,300ms,50,0.9901666666666666,12000.0,11882.0
ROWA,28,1,300ms,40,0.98725,12000.0,11847.0
ROWA,29,1,300ms,30,0.9856666666666667,12000.0,11828.0
ROWA,30,1,300ms,20,0.9755833333333334,12000.0,11707.0
ROWA,31,1,300ms,10,0.95475,12000.0,11457.0
ROWA,32,1,300ms,5,0.9123333333333333,12000.0,10948.0
ROWA,33,1,300ms,3,0.8604166666666667,12000.0,10325.0
ROWA,34,1,300ms,2,0.8004166666666667,12000.0,9605.0
ROWA,35,1,300ms,1,0.6505,12000.0,7806.0
ROWA,36,1,200ms,50,0.9815555555555555,18000.0,17668.0
ROWA,37,1,200ms,40,0.9748333333333333,18000.0,17547.0
ROWA,38,1,200ms,30,0.9715555555555555,18000.0,17488.0
ROWA,39,1,200ms,20,0.9532777777777778,18000.0,17159.0
ROWA,40,1,200ms,10,0.9111666666666667,18000.0,16401.0
ROWA,41,1,200ms,5,0.838,18000.0,15084.0
ROWA,42,1,200ms,3,0.7595555555555555,18000.0,13672.0
ROWA,43,1,200ms,2,0.6768333333333333,18000.0,12183.0
ROWA,44,1,200ms,1,0.5105,18000.0,9189.0
ROWA,45,1,100ms,50,0.9419444444444445,36000.0,33910.0
ROWA,46,1,100ms,40,0.9304722222222223,36000.0,33497.0
ROWA,47,1,100ms,30,0.9088888888888889,36000.0,32720.0
ROWA,48,1,100ms,20,0.8701666666666666,36000.0,31326.0
ROWA,49,1,100ms,10,0.7661111111111111,36000.0,27580.0
ROWA,50,1,100ms,5,0.6053333333333333,36000.0,21792.0
ROWA,51,1,100ms,3,0.4601388888888889,36000.0,16565.0
ROWA,52,1,100ms,2,0.3341388888888889,36000.0,12029.0
ROWA,53,1,100ms,1,0.13730555555555554,36000.0,4943.0
ROWA,54,2,2000ms,50,0.9813888888888889,1800.0,1766.5
ROWA,55,2,2000ms,40,0.9716666666666667,1800.0,1749.0
ROWA,56,2,2000ms,30,0.9644444444444444,1800.0,1736.0
ROWA,57,2,2000ms,20,0.9527777777777777,1800.0,1715.0
ROWA,58,2,2000ms,10,0.9055555555555556,1800.0,1630.0
ROWA,59,2,2000ms,5,0.8086111111111111,1800.0,1455.5
ROWA,60,2,2000ms,3,0.6775,1800.0,1219.5
ROWA,61,2,2000ms,2,0.5216666666666666,1800.0,939.0
ROWA,62,2,2000ms,1,0.042222222222222223,1800.0,76.0
ROWA,63,2,1000ms,50,0.9802777777777778,3600.0,3529.0
ROWA,64,2,1000ms,40,0.9738888888888889,3600.0,3506.0
ROWA,65,2,1000ms,30,0.9681944444444445,3600.0,3485.5
ROWA,66,2,1000ms,20,0.9559722222222222,3600.0,3441.5
ROWA,67,2,1000ms,10,0.9051388888888889,3600.0,3258.5
ROWA,68,2,1000ms,5,0.7976388888888889,3600.0,2871.5
ROWA,69,2,1000ms,3,0.6720833333333334,3600.0,2419.5
ROWA,70,2,1000ms,2,0.5055555555555555,3600.0,1820.0
ROWA,71,2,1000ms,1,0.041527777777777775,3600.0,149.5
ROWA,72,2,500ms,50,0.9813888888888889,7200.0,7066.0
ROWA,73,2,500ms,40,0.9767361111111111,7200.0,7032.5
ROWA,74,2,500ms,30,0.9695833333333334,7200.0,6981.0
ROWA,75,2,500ms,20,0.9532638888888889,7200.0,6863.5
ROWA,76,2,500ms,10,0.9047916666666667,7200.0,6514.5
ROWA,77,2,500ms,5,0.8124305555555555,7200.0,5849.5
ROWA,78,2,500ms,3,0.6718055555555555,7200.0,4837.0
ROWA,79,2,500ms,2,0.5322222222222223,7200.0,3832.0
ROWA,80,2,500ms,1,0.04041666666666666,7200.0,291.0
ROWA,81,2,300ms,50,0.9611666666666666,12000.0,11534.0
ROWA,82,2,300ms,40,0.95475,12000.0,11457.0
ROWA,83,2,300ms,30,0.9405833333333333,12000.0,11287.0
ROWA,84,2,300ms,20,0.9095,12000.0,10914.0
ROWA,85,2,300ms,10,0.8325,12000.0,9990.0
ROWA,86,2,300ms,5,0.690875,12000.0,8290.5
ROWA,87,2,300ms,3,0.5388333333333334,12000.0,6466.0
ROWA,88,2,300ms,2,0.3943333333333333,12000.0,4732.0
ROWA,89,2,300ms,1,0.07804166666666666,12000.0,936.5
ROWA,90,2,200ms,50,0.9461388888888889,18000.0,17030.5
ROWA,91,2,200ms,40,0.9323333333333333,18000.0,16782.0
ROWA,92,2,200ms,30,0.9095,18000.0,16371.0
